
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
✨ 清潔フォント [ID: 5] (名前: BAAAAA+Meiryo) ── 汚染なし
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+SourceHanSerif-Medium) [ToUnicode ID: 270]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <B097> -> Uni: <2FB6> (⾶) 💡 (相当する統合漢字: 飛 <98DB>)
     CID: <B09B> -> Uni: <2FB7> (⾷) 💡 (相当する統合漢字: 食 <98DF>)
     CID: <B222> -> Uni: <2FB8> (⾸) 💡 (相当する統合漢字: 首 <9996>)
     CID: <B225> -> Uni: <2FB9> (⾹) 💡 (相当する統合漢字: 香 <9999>)
     CID: <B249> -> Uni: <2FBA> (⾺) 💡 (相当する統合漢字: 馬 <99AC>)
     CID: <B3DE> -> Uni: <2FBB> (⾻) 💡 (相当する統合漢字: 骨 <9AA8>)
     CID: <B45A> -> Uni: <2FBC> (⾼) 💡 (相当する統合漢字: 高 <9AD8>)
     CID: <B468> -> Uni: <2FBD> (⾽) 💡 (相当する統合漢字: 髟 <9ADF>)
     CID: <B505> -> Uni: <2FBE> (⾾) 💡 (相当する統合漢字: 鬥 <9B25>)
     CID: <B516> -> Uni: <2FBF> (⾿) 💡 (相当する統合漢字: 鬯 <9B2F>)
     CID: <B51B> -> Uni: <2FC0> (⿀) 💡 (相当する統合漢字: 鬲 <9B32>)
     CID: <B532> -> Uni: <2FC1> (⿁) 💡 (相当する統合漢字: 鬼 <9B3C>)
     CID: <B583> -> Uni: <2FC2> (⿂) 💡 (相当する統合漢字: 魚 <9B5A>)
     CID: <B7DC> -> Uni: <2FC3> (⿃) 💡 (相当する統合漢字: 鳥 <9CE5>)
     CID: <BA5F> -> Uni: <2FC4> (⿄) 💡 (相当する統合漢字: 鹵 <9E75>)
     CID: <BA6E> -> Uni: <2FC5> (⿅) 💡 (相当する統合漢字: 鹿 <9E7F>)
     CID: <BAD5> -> Uni: <2FC6> (⿆) 💡 (相当する統合漢字: 麥 <9EA5>)
